Dòng (Excel),Lỗi,Dữ liệu
8016,Trống tên Lô,"Ngày=16/01/2026, Lô=, CV/VT="
8017,Trống tên Lô,"Ngày=25/01/2026, Lô=, CV/VT="
8018,Trống tên Lô,"Ngày=25/01/2026, Lô=, CV/VT="
8019,Trống tên Lô,"Ngày=25/01/2026, Lô=, CV/VT="
8020,Trống tên Lô,"Ngày=25/01/2026, Lô=, CV/VT="
8021,Trống tên Lô,"Ngày=25/01/2026, Lô=, CV/VT="
8022,Trống tên Lô,"Ngày=25/01/2026, Lô=, CV/VT="
8023,Trống tên Lô,"Ngày=25/01/2026, Lô=, CV/VT="
8024,Trống tên Lô,"Ngày=25/01/2026, Lô=, CV/VT="
8025,Trống tên Lô,"Ngày=25/01/2026, Lô=, CV/VT="
8026,Trống tên Lô,"Ngày=25/01/2026, Lô=, CV/VT="
8027,Trống tên Lô,"Ngày=25/01/2026, Lô=, CV/VT="
8028,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8029,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8030,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8031,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8032,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8033,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8034,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8035,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8036,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8037,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8038,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8039,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8040,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8041,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8042,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8043,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8044,Trống tên Lô,"Ngày=26/01/2026, Lô=, CV/VT="
8045,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8046,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8047,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8048,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8049,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8050,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8051,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8052,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8053,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8054,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8055,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8056,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8057,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8058,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8059,Trống tên Lô,"Ngày=27/01/2026, Lô=, CV/VT="
8060,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8061,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8062,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8063,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8064,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8065,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8066,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8067,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8068,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8069,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8070,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8071,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8072,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8073,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8074,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8075,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8076,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8077,Trống tên Lô,"Ngày=28/01/2026, Lô=, CV/VT="
8078,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8079,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8080,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8081,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8082,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8083,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8084,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8085,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8086,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8087,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8088,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8089,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8090,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8091,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8092,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8093,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8094,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8095,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8096,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8097,Trống tên Lô,"Ngày=29/01/2026, Lô=, CV/VT="
8098,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8099,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8100,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8101,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8102,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8103,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8104,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8105,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8106,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8107,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8108,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8109,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
8110,Trống tên Lô,"Ngày=30/01/2026, Lô=, CV/VT="
